pass,keyword,segmento,intencion,encaje,busquedas_mes,competencia,idx_comp,cpc_usd,puja_baja,puja_alta,var_anual_pct,pico_mes,variantes,otras_variantes,tags
en_world,"shipping delays",OTRO,INFORMACIONAL,REVISAR,4400,LOW,0,0.00,0.00,0.00,12,12,1,"","url:adimarships.com"
en_world,"marine shipping",OTRO,GENERICA,REVISAR,4400,LOW,5,7956.33,1409.79,7112.82,-4,3,2,"marine and shipping","url:panamashipservice.com url:gac.com url:orcashipsagents.com"
en_world,"ship propeller",OTRO,GENERICA,REVISAR,4400,LOW,3,2533.18,1386.86,5135.78,-15,5,1,"","url:panamashipservice.com"
en_world,"making ship",OTRO,GENERICA,REVISAR,4400,MEDIUM,37,200.84,184.22,2286.12,-7,2,1,"","url:panamashipservice.com"
en_world,"world ship",OTRO,GENERICA,REVISAR,4400,LOW,13,17805.36,1942.38,26499.29,-4,3,1,"","url:gac.com"
en_world,"shipping office",OTRO,GENERICA,REVISAR,4400,LOW,4,17309.70,8751.11,41077.27,50,6,1,"","url:gac.com"
en_world,"ship & bunker",BUNKER,GENERICA,SERVICIO,4400,LOW,2,17903.71,2149.85,8750.74,16,3,1,"","url:gac.com"
en_world,"shipping company in dubai united arab emirates",CONSULT,COMERCIAL,SERVICIO,4400,MEDIUM,53,9119.11,1812.80,12785.85,-39,1,1,"","url:gac.com"
en_world,"bunker and ship",BUNKER,GENERICA,SERVICIO,4400,LOW,2,17903.71,2149.85,8750.74,16,3,1,"","url:gac.com"
en_world,"united arab emirates port",OTRO,INFORMACIONAL,REVISAR,4400,LOW,0,0.00,2024.20,96874.64,80,3,1,"","url:gac.com"
en_world,"cargo vessel",OTRO,GENERICA,REVISAR,4400,LOW,1,0.00,1589.12,7220.41,-4,3,2,"vessel cargo","url:orcashipsagents.com"
en_world,"cargo ship vessel",OTRO,GENERICA,EXCLUIR,4400,LOW,1,0.00,1589.12,7220.41,-4,3,1,"","url:orcashipsagents.com"
en_world,"kinds of vessel",OTRO,GENERICA,REVISAR,4400,LOW,1,5729.48,1952.61,7208.04,-20,9,1,"","url:orcashipsagents.com"
en_world,"freight vessel",OTRO,GENERICA,REVISAR,4400,LOW,1,0.00,1589.12,7220.41,-4,3,1,"","url:orcashipsagents.com"
en_world,"sea cargo",OTRO,GENERICA,REVISAR,4400,LOW,15,2911.87,341.78,9100.89,-9,1,1,"","url:24marine.com"
en_world,"vessel type",OTRO,GENERICA,REVISAR,4400,LOW,1,5687.10,1938.17,7154.73,-20,9,1,"","url:24marine.com"
en_world,"company survey",FUERA,COMERCIAL,EXCLUIR,4400,LOW,17,23221.61,5194.39,34028.50,-9,9,2,"company surveys","url:crossworldagency.com"
en_world,"ship brokering",CONSULT,COMERCIAL,SERVICIO,3600,LOW,23,38610.84,5288.39,47039.01,-25,3,1,"","consultoria"
en_world,"panama port",OTRO,COMERCIAL,REVISAR,3600,LOW,1,3689.82,1925.29,121570.01,-40,3,4,"port panama | panama ports | ports in panama","url:orcashipsagents.com"
en_world,"manzanillo panama",INFO_CANAL,INFORMACIONAL,BLOG_CORE,3600,LOW,0,5843.36,7004.59,97839.69,-16,3,1,"","info url:orcashipsagents.com"
en_world,"panama canal port",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,3600,LOW,0,0.00,0.00,0.00,36,2,2,"port of panama canal","info url:lethagencies.com"
en_world,"panama port panama",OTRO,COMERCIAL,REVISAR,3600,LOW,1,3662.53,1911.05,120670.81,-40,3,1,"","info url:lethagencies.com url:orcashipsagents.com"
en_world,"panama seaport",OTRO,COMERCIAL,REVISAR,3600,LOW,1,3662.53,1911.05,120670.81,-40,3,1,"","info"
en_world,"panama canal where",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,3600,LOW,2,8591.69,40.05,7340.53,-47,1,2,"panama canal is where","url:orcashipsagents.com"
en_world,"repair ship",OTRO,GENERICA,REVISAR,3600,LOW,7,9008.41,2997.50,16974.44,-16,9,2,"ship repair","url:panamashipservice.com url:lethagencies.com"
en_world,"marine company",OTRO,COMERCIAL,REVISAR,3600,LOW,10,10533.65,1310.12,9550.90,-4,9,1,"","url:panamashipservice.com url:24marine.com"
en_world,"propeller on ship",OTRO,GENERICA,REVISAR,3600,LOW,5,3202.60,1457.09,6312.47,-11,9,1,"","url:panamashipservice.com"
en_world,"marine vessel",OTRO,GENERICA,REVISAR,3600,LOW,4,3024.30,1013.30,5374.64,2,3,1,"","url:panamashipservice.com url:24marine.com"
en_world,"propeller vessel",OTRO,GENERICA,REVISAR,3600,LOW,5,3202.60,1457.09,6312.47,-11,9,1,"","url:panamashipservice.com"
en_world,"shipping logistics company",OTRO,COMERCIAL,REVISAR,3600,LOW,14,18717.81,1264.01,22001.44,-29,3,1,"","url:gac.com"
en_world,"logistics ship",OTRO,GENERICA,REVISAR,3600,LOW,14,12336.10,1441.12,19884.30,-30,3,1,"","url:gac.com"
en_world,"vessel enquiry",OTRO,GENERICA,REVISAR,3600,LOW,0,10055.21,1041.29,8123.85,-11,1,1,"","url:gac.com"
en_world,"panama canal building",INFO_CANAL,INFORMACIONAL,BLOG_GENERAL,3600,LOW,1,10980.08,2036.37,17176.02,-29,1,1,"","url:lethagencies.com"
en_world,"ship broker",CONSULT,COMERCIAL,SERVICIO,3600,LOW,23,38898.55,5327.79,47389.53,-25,3,1,"","url:orcashipsagents.com"
en_world,"chartering companies",CONSULT,GENERICA,SERVICIO,3600,LOW,7,21846.97,6091.50,43618.96,-20,9,1,"","url:orcashipsagents.com"
en_world,"bulk cargo",OTRO,GENERICA,REVISAR,3600,LOW,2,9704.58,1455.59,13660.30,-26,1,1,"","url:24marine.com"
en_world,"bulk shippers",OTRO,GENERICA,REVISAR,3600,LOW,10,28930.95,2945.82,37823.07,-27,1,1,"","url:24marine.com"
en_world,"marketing business",OTRO,GENERICA,EXCLUIR,3600,LOW,30,21532.87,2121.21,35395.49,-26,9,1,"","url:crossworldagency.com"
en_world,"agency 4",FUERA,COMERCIAL,EXCLUIR,3600,LOW,1,4188.33,532.26,8189.16,16,3,1,"","url:crossworldagency.com"
en_world,"crewing companies",OTRO,GENERICA,REVISAR,2900,HIGH,80,2020.86,1551.97,5575.94,-6,11,1,"","agencia"
en_world,"ic shipbrokers",CONSULT,COMERCIAL,SERVICIO,2900,LOW,5,4233.42,1165.21,6796.26,-10,2,1,"","consultoria"
en_world,"ics shipbrokers",CONSULT,COMERCIAL,SERVICIO,2900,LOW,5,4233.42,1165.21,6796.26,-10,2,1,"","consultoria"
en_world,"ship solutions",OTRO,GENERICA,REVISAR,2900,LOW,12,58776.11,4166.72,45749.60,-5,5,1,"","url:adimarships.com url:panamashipservice.com url:gac.com"
en_world,"panama canal cameras",INFO_CANAL,INFORMACIONAL,EXCLUIR,2900,LOW,0,0.00,0.00,0.00,-2,1,1,"","url:adimarships.com"
en_world,"panama canal live cameras",INFO_CANAL,INFORMACIONAL,EXCLUIR,2900,LOW,0,0.00,0.00,0.00,-2,1,1,"","url:adimarships.com"
en_world,"fleet management shipping",OTRO,GENERICA,REVISAR,2900,LOW,9,4706.05,826.99,3877.06,-17,4,1,"","url:panamashipservice.com"
en_world,"ship agencies",AGENCIA,GENERICA,SERVICIO,2900,LOW,11,10029.16,1285.65,11770.76,-29,9,1,"","url:panamashipservice.com"
en_world,"bunker rates",BUNKER,INFORMACIONAL,BLOG_CORE,2900,LOW,3,4737.54,1222.63,6922.19,7,3,1,"","url:panamashipservice.com"
en_world,"shipping agency",AGENCIA,COMERCIAL,SERVICIO,2900,LOW,11,10029.16,1285.65,11770.76,-29,9,1,"","url:gac.com"
en_world,"gac uae",CONQUEST,NAVEGACIONAL,CONQUEST,2900,MEDIUM,49,2149.71,1126.76,4753.52,-1,5,1,"","url:gac.com"
en_world,"shipping crew",OTRO,GENERICA,REVISAR,2900,LOW,1,9913.46,545.33,5439.11,-14,3,1,"","url:gac.com"
en_world,"ports worldwide",OTRO,GENERICA,REVISAR,2900,LOW,9,6495.63,3123.99,15607.35,2,11,1,"","url:gac.com"
en_world,"freight ship companies",OTRO,GENERICA,REVISAR,2900,LOW,18,53141.60,12684.03,75303.55,-46,10,1,"","url:gac.com"
en_world,"fuel for ship",BUNKER,GENERICA,SERVICIO,2900,LOW,2,5802.64,1801.47,14979.29,55,4,1,"","url:gac.com"
en_world,"cargo ship prices",OTRO,INFORMACIONAL,EXCLUIR,2900,LOW,6,9439.39,493.82,6881.09,-32,3,1,"","url:orcashipsagents.com"
en_world,"ship sea",OTRO,GENERICA,REVISAR,2900,LOW,1,1414.37,1487.92,19797.06,-4,3,2,"sea and ship","url:orcashipsagents.com"
